firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
58d2380823a14ca183dfc50964971374,XLFS,Invesco,2024-12-06,Equities (Stocks)
595f0d09065d4069a69545c17b5cc027,CAESG,UBS,2024-10-31,Equities (Stocks)
59d329abb87b4235b5ee221c8b839e6b,CANUKD,UBS,2024-10-31,Equities (Stocks)
59e9be37407547e799634bc7b1ef1c26,CBUS,UBS,2024-10-31,Bonds
5a6f0e8208fc41d29137a985b8a2b28c,CAPU,OSSIAM ETF,2024-12-11,Equities (Stocks)
5a7131cdc24d447388a113b37f52b960,WRDUSA,UBS,2024-10-31,Equities (Stocks)
5a9782d2ba54420a95286d159c365d7f,VAGX,Vanguard,2024-07-31,Bonds
5aaac3fadcc04e85b3c6c77cad339423,AWSRIT,UBS,2024-10-31,Equities (Stocks)
5b2c7d698fcc4af48566a12d0747cc7f,HESC,HSBC,2024-12-11,Equities (Stocks)
5c1d37c7e72d438b897de7e2998ae315,HODLEUR,21Shares,2024-11-27,Other Asset Types
5c28356ff920400da72f4fdcbb6504fa,OP7H,OSSIAM ETF,2024-12-11,Equities (Stocks)
5c2b3586da064b7fbb3bd2b42b5c61ce,E50PW,UBS,2024-10-31,Equities (Stocks)
5c455abd0268417d9a0eed1ac6b7fff8,HCANCAD,HSBC,2024-12-11,Equities (Stocks)
5cce5f55ad8f4cdd9a94fcf3f767fbc2,TIP1A,UBS,2024-10-31,Bonds
5d1d62e2b6e746ffa10e1e26ef316c60,POLYCHF,21Shares,2024-11-27,Other Asset Types
5d360f457ed749dcbda441ed40352007,5PXE,Invesco,2024-12-06,Equities (Stocks)
5d3ad655f941400080ee6b33290254c7,UKSRF,UBS,2024-10-31,Equities (Stocks)
53cb8386515846f0a076185572d93dfa,3PLT,Leverage Shares,2024-12-06,Equities (Stocks)
5637579dd7b54d9eb2ecbcbd2eb1e153,VEVE,Vanguard,2024-07-31,Equities (Stocks)
56b88bb0edcd4aab8d852833031b59a4,SBTC,21Shares,2024-11-27,Other Asset Types
56e7aaed0c5b4a559f5d3ee1415487bc,5QQQ,Leverage Shares,2024-12-06,Equities (Stocks)
57d6198f49fe4f199f46bd55efdf4cd6,2FB,Leverage Shares,2024-12-06,Equities (Stocks)
59aafaa17f01446b89de0420ac3e4192,UBUS,UBS,2024-10-31,Equities (Stocks)
5be0fd7736ca4221a5f1f6d0b2292255,UE25,UBS,2024-10-31,Bonds
554f48c8f1b2492294412152690630a9,AUNI,21Shares,2024-11-27,Other Asset Types
57d9b56ac49d4bc3948f39db6e4cd759,AMKR,21Shares,2024-11-27,Other Asset Types
586568646f454ad186a57dbb7d8cb40e,AADA,21Shares,2024-11-27,Other Asset Types
5b4220474906438298c30a45564e32f5,GGRI,Wisdom Tree,2024-09-30,Equities (Stocks)
582f6afbd6ea4707a2e74c25889e166b,GLVD,Dokhod,2022-03-02,Equities (Stocks)
5d4336ede43d48749993647dbaa1d72e,UIMA,UBS,2024-10-31,Equities (Stocks)
5d7eb7a2922e4fd19905e4156576db40,HPAE,HSBC,2024-12-11,Equities (Stocks)
5e829009339641879eb642521dc1d741,2SBT,21Shares,2024-11-27,Other Asset Types
5e861bee85004ebe9ecd0900314dca49,OP7E,OSSIAM ETF,2024-12-11,Equities (Stocks)
5e99ab020f914b50b9b23c8f314e9d84,VUAA,Vanguard,2024-07-31,Equities (Stocks)
5f567ff6dd8a4287a75058d9af3a8330,MBZ3,Leverage Shares,2024-12-06,Equities (Stocks)
600401297147455fbfbb0dbbfac3b950,SC0Z,Invesco,2024-12-06,Equities (Stocks)
60bb0827e83141f2a9213678bf1451f2,SC06,Invesco,2024-12-06,Equities (Stocks)
60dd7f1e75b74ca7acea57e97cf84fc6,FRC3,UBS,2024-10-31,Bonds
